,Run Information,,,,,,,,,Bins,,,,,
Run Number(s),# Runs,Sample,Phase Shifter,Harmonics,Ref,SLU,Scan Range,Good Data?,Notes,"Total         Grouped by State (X,B,C)",X State,A State,B State,C State,Other
662-687,25,Ne,6,"10,12,14",10,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",,exclude 666,"bins = [[5857,5874],[6306,6336]]",,,,,"[[5857,5874],[6306,6336]]"
688,1,CO2,x,"10,12,14",x,OFF,x,,,,,,,,
689-714,25,CO2,6,"10,12,14",10,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",BAD,"exclude 691, phase 1.850 repeated and in 692","bins = [[5833,5851],[6230,6270],[5940,5970],[6820,6900],[6011,6040],[7364,7480]]","[[5833,5851],[6230,6270]]",,"[[5940,5970],[6820,6900]]","[[6011,6040],[7364,7480]]",
715,1,CO2,x,"10,12,14",x,OFF,x,,,,,,,,
716-729,13,CO2,6,"10,12,14",10,ON,2.10:0.6:-0.125,GOOD,exclude 719 (maybe 720),"bins = [[5833,5851],[6230,6270],[5940,5970],[6820,6900],[6011,6040],[7364,7480]]","[[5833,5851],[6230,6270]]",,"[[5940,5970],[6820,6900]]","[[6011,6040],[7364,7480]]",
730-755,25,CO2,6,"10,12,14",10,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",GOOD,exclude 740,"bins = [[5833,5851],[6230,6270],[5940,5970],[6820,6900],[6011,6040],[7364,7480]]","[[5833,5851],[6230,6270]]",,"[[5940,5970],[6820,6900]]","[[6011,6040],[7364,7480]]",
757,1,CO2,x,"10,12,14",x,OFF,x,,compare to SLU on 756,,,,,,
759-784,25,CO2,6,"10,12,14",10,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",BAD,exclude 761,"bins = [[5815,5825],[6161,6192],[5914,5924],[6540,6620],[5995,6007],[6950,7025]]","[[5815,5825],[6161,6192]]",,"[[5914,5924],[6540,6620]]
","[[5995,6007],[6950,7025]]
",
785-810,25,CO2,6,"10,12,14",10,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",BAD,exclude 793,"bins = [[5815,5825],[6161,6192],[5914,5924],[6540,6620],[5995,6007],[6950,7025]]","[[5815,5825],[6161,6192]]",,"[[5914,5924],[6540,6620]]
","[[5995,6007],[6950,7025]]
",
811-835,25,CO2,6,"10,12,14",10,ON,"2.10:0.6:-0.125, 0.6625:2.0375:0.125",BAD,,"bins = [[5815,5825],[6161,6192],[5914,5924],[6540,6620],[5995,6007],[6950,7025]]","[[5815,5825],[6161,6192]]",,"[[5914,5924],[6540,6620]]
","[[5995,6007],[6950,7025]]
",
842,1,CO2,x,"10,12,14",x,OFF,x,,new timing and voltage settings,,,,,,
